No,Polres,Tanggal Kejadian,Waktu Kejadian,Meninggal Dunia,Luka Berat,Luka Ringan,EAN, Rugi Material Kendaraan ,Tingkat Kecelakaan,Tipe Kecelakaan,Penyebab,Nama Jalan,Koordinat GPS - Lintang,Koordinat GPS - Bujur,Status Jalan,Fungsi Jalan,Kelas Jalan,Tipe Jalan,Bentuk Geometri,Cuaca,Kondisi Cahaya
1,KOTA BALIKPAPAN,2021-01-14,06:50:00,1,0,0,12," Rp1,000,000 ",Berat,Kendaraan Out of Control keluar ke kiri jalan,Manusia,"Jl. Letkol Pol. H.M. Asnawi Arbain, dekat Kendali Bjbj Gn. Bahagia, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76114, Indonesia",-1.2500253,116.8832952,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Tikungan,Redup / Samar (Tidak jelas terlihat),Hujan/ Grimis
2,KOTA BALIKPAPAN,2021-02-28,03:30:00,1,1,0,15," Rp1,000,000 ",Berat,Kendaraan Out of Control keluar ke kiri jalan,Manusia,"Jl. Ahmad Yani No.61, dekat Notaris Nureni S.H MKN Mekar Sari, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76113, Indonesia",-1.2541145,116.8382593,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Tikungan,Redup / Samar (Tidak jelas terlihat),Cerah
3,KOTA BALIKPAPAN,2021-03-07,01:00:00,1,0,0,12," Rp1,000,000 ",Berat,Kendaraan Out of Control keluar ke kanan jalan,Manusia,Jalan Mayor Pol Zainal Arifin Gg Beller Kel.Damai Kota Balikpapan,-1.253777398,116.8631245,Jalan Kota / Kabupaten,Kolektor,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Tikungan,Redup / Samar (Tidak jelas terlihat),Cerah
4,KOTA BALIKPAPAN,2021-08-29,02:00:00,1,0,0,12," Rp1,000,000 ",Berat,Tabrakan dengan benda di jalan atau di atas jalan,Manusia,"Jl. MT Haryono dekat RS Siloam, Damai, Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114, Indonesia",-1.251441005,116.8697386,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Redup / Samar (Tidak jelas terlihat),Cerah
5,KOTA BALIKPAPAN,2021-09-16,15:30:00,1,0,0,12," Rp500,000 ",Berat,Sepeda angin/ Sepeda motor jatuh,Manusia,Jl Syarifuddin Yoes dekat Cairos cofee Kel.Gn Bahagia Kec.Balikpapan Selatan,-1.232891204,116.8881884,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Terang / Jelas,Cerah
6,KOTA BALIKPAPAN,2021-10-18,01:45:00,1,0,0,12," Rp1,000,000 ",Berat,Kendaraan Out of Control keluar ke kanan jalan,Manusia,"Jl Jenderal Sudirman dekal BSB Kel.Gn. Bahagia, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76114, Indonesia",-1.271751466,116.860029,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Redup / Samar (Tidak jelas terlihat),Hujan/ Grimis
7,KOTA BALIKPAPAN,2021-10-20,01:00:00,1,0,0,12," Rp500,000 ",Berat,Kendaraan Out of Control keluar ke kiri jalan,Manusia,"Jalan Syarifuddin Yoes No.88, dekat Mapolda Kaltim, Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76115, Indonesia",-1.229048938,116.8859644,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 TB (4 Lajur/2 Arah Tanpa Batas Median),Lurus,Redup / Samar (Tidak jelas terlihat),Hujan/ Grimis
8,KOTA BALIKPAPAN,2021-11-15,07:00:00,1,0,0,12, Rp100 ,Berat,Tabrakan dengan benda di jalan atau di atas jalan,Manusia,Jalan MT Haryono dekat dealer yamaha,-1.2680452,116.8551432,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Terang / Jelas,Hujan/ Grimis
9,KOTA BALIKPAPAN,2021-12-01,21:15:00,0,0,0,0," Rp250,000,000 ",Ringan,Tabrakan depan - belakang,Manusia,"Jl. Pattimura tanjakan simpang Indrakila, Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76115, Indonesia",-1.225156494,116.8650718,Jalan Kota / Kabupaten,Kolektor,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),T (Simpang Tiga),Redup / Samar (Tidak jelas terlihat),Cerah
10,KOTA BALIKPAPAN,2021-12-06,20:30:00,1,0,0,12," Rp2,000,000 ",Berat,Tabrakan dengan benda di jalan atau di atas jalan,Manusia,"Jl. Mulawarman No.15, Teritip, Kec. Balikpapan Tim., Kota Balikpapan, Kalimantan Timur 76118, Indonesia",-1.1586635,117.0061178,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Redup / Samar (Tidak jelas terlihat),Hujan/ Grimis
