No,Polres,Tanggal Kejadian,Waktu Kejadian,Meninggal Dunia,Luka Berat,Luka Ringan,EAN, Rugi Material Kendaraan ,Tingkat Kecelakaan,Tipe Kecelakaan,Penyebab,Nama Jalan,Koordinat GPS - Lintang,Koordinat GPS - Bujur,Status Jalan,Fungsi Jalan,Kelas Jalan,Tipe Jalan,Bentuk Geometri,Cuaca,Kondisi Cahaya
1,BONTANG,2021-11-18,09:00:00,0,1,1,6, Rp- ,Sedang,Tabrakan saat menyalip dari kanan,Manusia,"Jl. WR Soepratman No.18, Berbas Tengah, Bontang Sel., Kota Bontang, Kalimantan Timur 75325, Indonesia",0.117695205,117.484696,Jalan Kota / Kabupaten,Kolektor,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),4/2 TB (4 Lajur/2 Arah Tanpa Batas Median),Tikungan,Terang / Jelas,Cerah
2,BONTANG,2021-01-18,17:00:00,0,1,0,3," Rp3,000,000 ",Sedang,Kendaraan Out of Control keluar ke kiri jalan,Manusia,"Jl. A. Yani, Semangkok, Kec. Marang Kayu, Kabupaten Kutai Kartanegara, Kalimantan Timur 75385, Indonesia",-0.064262477,117.3774464,Jalan Nasional,Kolektor,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),T (Simpang Tiga),Terang / Jelas,Cerah
3,BONTANG,2021-12-22,12:45:00,0,1,0,3," Rp15,000,000 ",Sedang,Tabrakan dengan kendaraan parkir di kiri,Manusia,"Jl. RE. Martadinata No.61b, Lok Tuan, Bontang Utara, Kota Bontang, Kalimantan Timur 75321, Indonesia",0.169012335,117.4820981,Jalan Kota / Kabupaten,Kolektor,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Terang / Jelas,Cerah
4,BONTANG,2021-01-30,18:30:00,0,1,0,3," Rp500,000 ",Sedang,Kendaraan Out of Control keluar ke kiri jalan,Manusia,"Unnamed Road, Guntung, Bontang Utara, Kota Bontang, Kalimantan Timur 75321, Indonesia",0.179997271,117.4777804,Jalan Kota / Kabupaten,Kolektor,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Terang / Jelas,Cerah
5,BONTANG,2021-03-04,02:30:00,0,1,0,3," Rp50,000,000 ",Sedang,Kendaraan Out of Control keluar ke kiri jalan,Manusia,"Jl. Bontang - Samarinda, Perangat Sel., Kec. Marang Kayu, Kabupaten Kutai Kartanegara, Kalimantan Timur 75385, Indonesia",-0.1684675,117.3231556,Jalan Propinsi,Kolektor,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),1/1 (1 Lajur/1 Arah),Tikungan,Gelap / Sulit Terlihat,Cerah
6,BONTANG,2021-05-23,03:00:00,0,1,1,6," Rp1,000,000 ",Sedang,Kendaraan Out of Control keluar ke kiri jalan,Manusia,"Jl. Soekarno Hatta, Kanaan, Bontang Bar., Kota Bontang, Kalimantan Timur 75321, Indonesia",0.138771879,117.4485604,Jalan Kota / Kabupaten,Lokal / Lingkungan,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Z (Tikungan tajam),Terang / Jelas,Cerah
7,BONTANG,2021-03-08,16:45:00,1,0,2,18," Rp3,000,000 ",Berat,"Di ruas jalan, pejalan kaki menyeberang dari kanan ke kiri",Manusia,"Jl. RE. Martadinata No.61b, Lok Tuan, Bontang Utara, Kota Bontang, Kalimantan Timur 75321, Indonesia",0.168648897,117.4824508,Jalan Kota / Kabupaten,Kolektor,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Terang / Jelas,Cerah
8,BONTANG,2021-01-12,13:30:00,0,1,0,3," Rp5,000,000 ",Sedang,Tabrakan depan - depan,Manusia,"Jl. A. Yani, Perangkat Baru, Kec. Marang Kayu, Kabupaten Kutai Kartanegara, Kalimantan Timur 75382, Indonesia",-0.218254623,117.2749531,Jalan Propinsi,Kolektor,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Terang / Jelas,Cerah
9,BONTANG,2021-01-20,13:00:00,0,0,1,3," Rp2,000,000 ",Ringan,Tabrakan depan - belakang,Kendaraan,"Jl. Letjen S. Parman, Kanaan, Bontang Bar., Kota Bontang, Kalimantan Timur 75321, Indonesia",0.139810896,117.4581467,Jalan Kota / Kabupaten,Kolektor,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Tikungan,Terang / Jelas,Cerah
10,BONTANG,2021-01-18,08:30:00,0,1,0,3," Rp2,000,000 ",Sedang,Tabrakan dengan kendaraan parkir di kiri,Manusia,"Jl. Cipto Mangunkusumo No.1, Belimbing, Bontang Bar., Kota Bontang, Kalimantan Timur 75311, Indonesia",0.140197804,117.4753513,Jalan Kota / Kabupaten,Kolektor,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Terang / Jelas,Cerah
