No,Polres,Tanggal Kejadian,Waktu Kejadian,Meninggal Dunia,Luka Berat,Luka Ringan,EAN, Rugi Material Kendaraan ,Tingkat Kecelakaan,Nama Jalan,Koordinat GPS - Lintang,Koordinat GPS - Bujur,Status Jalan,Fungsi Jalan,Kelas Jalan,Tipe Jalan,Bentuk Geometri,Cuaca,Kondisi Cahaya
1,KOTA SAMARINDA,2021-02-22,03:00:00,0,1,0,3," Rp250,000 ",Sedang,"Jl. P. Suryanata, Bukit Pinang, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75131, Indonesia",-0.425729725,117.0964449,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Hujan/ Grimis,Gelap / Sulit Terlihat
2,KOTA SAMARINDA,2021-03-20,02:00:00,0,1,0,3," Rp500,000 ",Sedang,"Jl. Sultan Sulaiman, Sambutan, Kec. Sambutan, Kota Samarinda, Kalimantan Timur 75253, Indonesia",-0.519867687,117.2042899,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
3,KOTA SAMARINDA,2021-03-19,10:00:00,0,1,0,3," Rp100,000 ",Sedang,"Jl. P Antasari No.79, Air Putih, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.488155481,117.1267197,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
4,KOTA SAMARINDA,2021-03-19,15:00:00,0,1,0,3," Rp250,000 ",Sedang,"Jl. Wahid Hasyim 2 No.18, Sempaja Sel., Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.447392293,117.1547102,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
5,KOTA SAMARINDA,2021-03-22,02:00:00,0,1,0,3," Rp250,000 ",Sedang,"Jl. Ampera, Simpang Pasir, Kec. Palaran, Kota Samarinda, Kalimantan Timur 75251, Indonesia",-0.546018764,117.1502205,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Multi Simpang (Lebih dari 4),Cerah,Gelap / Sulit Terlihat
6,KOTA SAMARINDA,2021-03-29,00:30:00,0,2,0,6," Rp250,000 ",Sedang,"Jl. Slamet Riyadi No.14, Karang Asam Ilir, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75126, Indonesia",-0.51250834,117.1171878,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Tidak Diketahui,Redup / Samar (Tidak jelas terlihat)
7,KOTA SAMARINDA,2021-04-04,20:30:00,0,1,0,3," Rp100,000 ",Sedang,"Jl. Ampera, Mesjid, Kec. Samarinda Seberang, Kota Samarinda, Kalimantan Timur 75251, Indonesia",-0.535246151,117.1509964,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Redup / Samar (Tidak jelas terlihat)
8,KOTA SAMARINDA,2021-04-14,15:30:00,0,1,0,3," Rp250,000 ",Sedang,"Jl. Sultan Sulaiman, Sambutan, Kec. Sambutan, Kota Samarinda, Kalimantan Timur 75253, Indonesia",-0.515549507,117.1990877,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Hujan/ Grimis,Terang / Jelas
9,KOTA SAMARINDA,2021-04-27,11:10:00,0,1,0,3," Rp100,000 ",Sedang,"Jl. Gajah Mada No.15, Ps. Pagi, Kec. Samarinda Kota, Kota Samarinda, Kalimantan Timur 75111, Indonesia",-0.503255417,117.1459086,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
10,KOTA SAMARINDA,2021-05-01,21:30:00,0,1,0,3," Rp500,000 ",Sedang,"Jl. Lempake Jaya, Lempake, Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75112, Indonesia",-0.435094058,117.1888417,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Redup / Samar (Tidak jelas terlihat)
11,KOTA SAMARINDA,2021-07-03,16:30:00,0,1,1,6," Rp1,000,000 ",Sedang,"Jl. Soekarno Hatta No.20, Simpang Tiga, Kec. Loa Janan Ilir, Kota Samarinda, Kalimantan Timur 75391, Indonesia",-0.576289058,117.090932,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Tikungan,Cerah,Terang / Jelas
12,KOTA SAMARINDA,2021-07-05,20:00:00,0,1,0,3," Rp500,000 ",Sedang,"Jl. KH. Harun Nafsi No.1200, Rapak Dalam, Kec. Loa Janan Ilir, Kota Samarinda, Kalimantan Timur 75251, Indonesia",-0.547161333,117.1226246,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
13,KOTA SAMARINDA,2021-07-24,19:00:00,0,1,0,3," Rp500,000 ",Sedang,"Jl. Apt. Pranoto No.56, Sungai Keledang, Kec. Samarinda Seberang, Kota Samarinda, Kalimantan Timur 75242, Indonesia",-0.527706451,117.1310082,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
14,KOTA SAMARINDA,2021-08-10,13:25:00,0,1,0,3," Rp400,000 ",Sedang,"Jl. Ir. H. Juanda No.78d, Sidodadi, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243, Indonesia",-0.481032124,117.1346912,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
